RELATIONSHIP_ID,RELATIONSHIP_NAME,IS_HIERARCHICAL,DEFINES_ANCESTRY,REVERSE_RELATIONSHIP_ID,RELATIONSHIP_CONCEPT_ID
Acc device used by,Access device used by (SNOMED),0,0,Using acc device,44818895
Access of,Access of (SNOMED),0,0,Has access,44818847
Active ing of,Active ingredient of (SNOMED),0,0,Has active ing,44818859
Admin method of,Dose form administration method of (SNOMED),0,0,Has admin method,581464
AMP of,Actual Medicinal Product of (SNOMED),0,0,Has AMP,45905757
Answer of,Answer of (LOINC),0,0,Has Answer,45754684
Answer of (PPI),Answer of (PPI),0,0,Has answer (PPI),32443
Approach of,Approach of (SNOMED),0,0,Has approach,45754821
ARP of,ARP of (SNOMED),0,0,Has ARP,45905797
Asso finding of,Associated finding of (SNOMED),0,0,Has asso finding,44818868
Asso morph of,Associated morphology of (SNOMED),0,0,Has asso morph,44818867
Asso proc of,Associated procedure of (SNOMED),0,0,Has asso proc,44818882
Asso with finding,Associated with finding (SNOMED),0,0,Finding asso with,44818792
ATC - SNOMED eq,ATC to SNOMED equivalent (RxNorm),0,0,SNOMED - ATC eq,45754850
ATC to NDFRT eq,ATC to NDFRT equivalent (NDF-RT),0,0,NDFRT to ATC eq,45754838
ATC to VA Class eq,ATC to VA Class equivalent (NDF-RT),0,0,VA Class to ATC eq,45754836
Basic dose form of,Basic dose form of (SNOMED),0,0,Has basic dose form,581460
Basis str subst of,Basis of strength substance of (SNOMED),0,0,Has basis str subst,45905750
Causative agent of,Causative agent of (SNOMED),0,0,Has causative agent,44818866
Caused by,Caused by (SNOMED),0,0,Causes,45754810
Causes,Causes (SNOMED),0,0,Caused by,45754811
Characterizes,Characterizes (SNOMED),0,0,Is characterized by,5081
Clinical course of,Has clinical course of (SNOMED),0,0,Has clinical course,44818896
Component of,Component of (SNOMED),0,0,Has component,44818865
Conc denom unit of,Concentration strength denominator unit of (SNOMED),0,0,Has conc denom unit,32436
Conc denom val of,Concentration strength denominator value of (SNOMED),0,0,Has conc denom val,32434
Conc num unit of,Concentration strength numerator unit of (SNOMED),0,0,Has conc num unit,32438
Conc num val of,Concentration strength numerator value of (SNOMED),0,0,Has conc num val,32432
Concept alt_to from,Active alternative_to inactive (SNOMED),0,0,Concept alt_to to,44818961
Concept alt_to to,Inactive alternative_to active (SNOMED),0,0,Concept alt_to from,44818960
Concept poss_eq from,Active possibly_equivalent_to inactive (SNOMED),0,0,Concept poss_eq to,44818963
Concept poss_eq to,Inactive possibly_equivalent_to active (SNOMED),0,0,Concept poss_eq from,44818962
Concept replaced by,Concept replaced by,0,0,Concept replaces,44818956
Concept replaces,Concept replaces,0,0,Concept replaced by,44818957
Concept same_as from,Active same_as inactive (SNOMED),0,0,Concept same_as to,44818959
Concept same_as to,Inactive same_as active (SNOMED),0,0,Concept same_as from,44818958
Concept was_a from,Active was_a inactive (SNOMED),0,0,Concept was_a to,44818965
Concept was_a to,Inactive was_a active (SNOMED),0,0,Concept was_a from,44818964
Count of ing of,Count of base of active ingredient of (SNOMED),0,0,Has count of ing,32442
CPT4 - LOINC eq,CPT4 to LOINC equivalent (SNOMED),0,0,LOINC - CPT4 eq,45956698
CPT4 - SNOMED eq,CPT-4 to SNOMED equivalent (OMOP),0,0,SNOMED - CPT4 eq,44818804
Denom value of,Presentation strength denominator value of (SNOMED),0,0,Has denomin value,581419
Denominator unit of,Presentation strength denominator unit of (SNOMED),0,0,Has denominator unit,581417
Device used by,Device used by (SNOMED),0,0,Using device,44818892
Dir device of,Direct device of (SNOMED),0,0,Has dir device,44818864
Dir morph of,Direct morphology of (SNOMED),0,0,Has dir morph,44818863
Dir proc site of,Direct procedure site of (SNOMED),0,0,Has dir proc site,44818883
Dir subst of,Direct substance of (SNOMED),0,0,Has dir subst,44818862
Direct site of,Direct site of (SNOMED),0,0,Has direct site,5080
Disc indicator of,Discontinued indicator of (SNOMED),0,0,Has disc indicator,45905805
Disp dose form of,Dispensed dose form of (SNOMED),0,0,Has disp dose form,45905748
Disposition of,Disposition of (SNOMED),0,0,Has disposition,581462
Dose form of,Dose form of (SNOMED),0,0,Has dose form,44818880
Dose form unit of,Unit relating to the size of (DM+D),0,0,Has dose form unit,45905754
DRG - MS-DRG eq,DRG to MS-DRG equivalent (CMS),0,0,MS-DRG - DRG eq,44818936
Drug-drug inter for,Drug-drug interaction for (NDF),0,0,Has drug-drug inter,44818914
Due to of,Due to of (SNOMED),0,0,Has due to,44818878
During,During (SNOMED),0,0,Has complication,581424
Energy used by,Energy used by (SNOMED),0,0,Using energy,44818893
Episodicity of,Episodicity of (SNOMED),0,0,Has episodicity,44818861
Etiology of,Etiology of (SNOMED),0,0,Has etiology,45754813
Excipient of,Excipient of (SNOMED),0,0,Has excipient,45905790
Excluded in map from,Standard to Non-standard exclude child (OMOP),0,0,Map excludes child,44818970
Extent of,Extent of (SNOMED),0,0,Has extent,45754817
FDB Ind - ICD9CM,FDB Indication/Contraindication to ICD-9-CM (FDB),0,0,ICD9CM - FDB Ind,44819289
Finding asso with,Finding associated with (SNOMED),0,0,Asso with finding,44818890
Finding context of,Finding context of (SNOMED),0,0,Has finding context,44818887
Finding inform of,Finding informer of (SNOMED),0,0,Using finding inform,44818899
Finding method of,Finding method of (SNOMED),0,0,Using finding method,44818898
Spec active ing of,Specific active ingredient of (SNOMED),0,0,Has spec active ing,45905749
Specimen identity of,Specimen source identity of (SNOMED),0,0,Has specimen source,44818874
Specimen morph of,Specimen source morphology of (SNOMED),0,0,Has specimen morph,44818875
Specimen of,Specimen of (SNOMED),0,0,Has specimen,44818854
Specimen proc of,Specimen procedure of (SNOMED),0,0,Has specimen proc,44818873
Specimen subst of,Specimen substance of (SNOMED),0,0,Has specimen subst,44818877
Specimen topo of,Specimen source topography of (SNOMED),0,0,Has specimen topo,44818876
Stage of,Stage of (SNOMED),0,0,Has stage,45754815
State of matter of,State of matter of (SNOMED),0,0,Has state of matter,581472
Subject matter of,Subject matter domain of (LOINC),0,0,Has subject matter,32455
Subst used by,Substance used by (SNOMED),0,0,Using subst,44818894
Supplier of,Supplier or manufacturer of (OMOP),0,0,Has supplier,249
Surgical appr of,Surgical approach of (SNOMED),0,0,Has surgical appr,44818891
Technique of,Technique of (SNOMED),0,0,Has technique,5070
Temp related to,Temporally related to (SNOMED),0,0,Has temp finding,581473
Temporal context of,Temporal context of (SNOMED),0,0,Has temporal context,44818889
Time aspect of,Time aspect of (SNOMED),0,0,Has time aspect,44818872
Topography of ICDO,Topography of ICDO,0,0,Has Topography ICDO,581430
Trade family grp of,Trade family group of (SNOMED),0,0,Has trade family grp,45905759
Tradename of,Tradename of (RxNorm),0,0,Has tradename,44818814
Transformation of,Dose form transformation of (SNOMED),0,0,Has transformation,581470
Typ bill - Freq Code,Typ bill Full to Frequency code (UB04),0,0,Freq Code - Typ bill,32403
Typ bill - Typ bill3,Typ bill Full to Typ bill 3 digits (UB04),0,0,Typ bill3 - Typ bill,32405
Typ bill3 - Typ bill,Typ bill 3 digits to Typ bill Full (UB04),0,0,Typ bill - Typ bill3,32406
Type mapped from,Type concept to non-standard map (OMOP),0,0,Maps to type,44819240
Type of service of,Type of service of (LOINC),0,0,Has type of service,32457
UCUM replaced by,Concept replaced by (UCUM),0,0,UCUM replaces,44818978
UCUM replaces,Concept replaces (UCUM),0,0,UCUM replaced by,44818979
Unit mapped from,Unit concept to non-standard map (OMOP),0,0,Maps to unit,44819241
Unit of admin of,Unit of administration of (SNOMED),0,0,Has unit of admin,32410
Unit of presen of,Unit of presentation of (SNOMED),0,0,Has unit of presen,32430
Unit of prod use of,Unit relating to the entity that can be handled of (DM+D),0,0,Has unit of prod use,45905755
Using acc device,Using access device (SNOMED),0,0,Acc device used by,44818797
Using device,Using device (SNOMED),0,0,Device used by,44818794
Using energy,Using energy (SNOMED),0,0,Energy used by,44818795
Using finding inform,Using finding informer (SNOMED),0,0,Finding inform of,44818801
Using finding method,Using finding method (SNOMED),0,0,Finding method of,44818800
Using subst,Using substance (SNOMED),0,0,Subst used by,44818796
VA Class - SNOMED eq,VA Class to SNOMED equivalent (RxNorm),0,0,SNOMED - VA Class eq,45754848
VA Class to ATC eq,VA Class to ATC equivalent (NDF-RT),0,0,ATC to VA Class eq,45754835
VA Class to NDFRT eq,VA Class to NDFRT equivalent (NDF-RT),0,0,NDFRT to VA Class eq,45754839
Value mapped from,Value_as_concept to non-standard map (OMOP),0,0,Maps to value,44819242
VAProd - NDFRT,VA Product to NDF-RT (NDF-RT),0,0,NDFRT - VAProd,44818942
VMP has prescr stat,VMP has prescribing status (SNOMED),0,0,VMP prescr stat of,45905810
VMP of,Virtual Medicinal Product of (SNOMED),0,0,Has VMP,45905751
VMP prescr stat of,VMP prescribing status of (SNOMED),0,0,VMP has prescr stat,45905811
VRP has prescr stat,VRP has prescribing status (SNOMED),0,0,VRP prescr stat of,45905806
VRP of,VRP of (SNOMED),0,0,Has VRP,45905799
VRP prescr stat of,VRP prescribing status of (SNOMED),0,0,VRP has prescr stat,45905807
Finding site of,Finding site of (SNOMED),0,0,Has finding site,44818860
Flavor of,Flavor of (SNOMED),0,0,Has flavor,45905803
Focus of,Focus of (SNOMED),0,0,Has focus,44818857
Followed by,Followed by (SNOMED),0,0,Follows,45905793
Follows,Follows (SNOMED),0,0,Followed by,45905792
Form of,Form of (RxNorm),0,0,Has form,44818816
Freq Code - Typ bill,Frequency code to Typ bill Full (UB04),0,0,Typ bill - Freq Code,32404
Has access,Has access (SNOMED),0,0,Access of,44818749
Has active ing,Has active ingredient (SNOMED),0,0,Active ing of,44818761
Has admin method,Has dose form administration method (SNOMED),0,0,Admin method of,581463
Has AMP,Has Actual Medicinal Product (SNOMED),0,0,AMP of,45905745
Has Answer,Has Answer (LOINC),0,0,Answer of,45754683
Has answer (PPI),Has answer (PPI),0,0,Answer of (PPI),32444
Has approach,Has Approach (SNOMED),0,0,Approach of,45754820
Has ARP,Has ARP (SNOMED),0,0,ARP of,45905796
Has asso finding,Has associated finding (SNOMED),0,0,Asso finding of,44818770
Has asso morph,Has associated morphology (SNOMED),0,0,Asso morph of,44818769
Has asso proc,Has associated procedure (SNOMED),0,0,Asso proc of,44818784
Has basic dose form,Has basic dose form (SNOMED),0,0,Basic dose form of,581459
Has basis str subst,Has basis of strength substance (SNOMED),0,0,Basis str subst of,45905738
Has causative agent,Has causative agent (SNOMED),0,0,Causative agent of,44818768
Has CI,Has drug contra-indication (FDB),0,0,Is CI of,44818808
Has clinical course,Has clinical course (SNOMED),0,0,Clinical course of,44818798
Has complication,Has complication (SNOMED),0,0,During,581425
Has component,Has component (SNOMED),0,0,Component of,44818767
Has conc denom unit,Has concentration strength denominator unit (SNOMED),0,0,Conc denom unit of,32435
Has conc denom val,Has concentration strength denominator value (SNOMED),0,0,Conc denom val of,32433
Has conc num unit,Has concentration strength numerator unit (SNOMED),0,0,Conc num unit of,32437
Has conc num val,Has concentration strength numerator value (SNOMED),0,0,Conc num val of,32431
Has count of ing,Has count of base of active ingredient (SNOMED),0,0,Count of ing of,32441
Has denomin value,Has presentation strength denominator value (SNOMED),0,0,Denom value of,581418
Has denominator unit,Has presentation strength denominator unit (SNOMED),0,0,Denominator unit of,581416
Has dir device,Has direct device (SNOMED),0,0,Dir device of,44818766
Has dir morph,Has direct morphology (SNOMED),0,0,Dir morph of,44818765
Has dir proc site,Has direct procedure site (SNOMED),0,0,Dir proc site of,44818785
