ancestor_concept_id,descendant_concept_id,min_levels_of_separation,max_levels_of_separation
4180628,313217,5,6
4179141,4146173,2,2
21500574,1118084,4,4
21505770,1119510,0,0
21503968,40162520,5,6
36203060,40479424,4,4
36151384,1119510,0,0
21502552,1112807,4,4
40765628,40769188,2,2
44339648,19128008,2,2
44337800,1521369,0,0
44339264,1124957,0,0
45652936,1125315,0,0
45622420,1713332,0,0
45640392,1125315,0,0
45632060,1119510,0,0
45629772,1539403,0,0
45654296,1177480,0,0
45624364,19008572,2,3
45686392,975125,0,0
45781200,933724,0,0
45687104,46233712,2,3
45687748,19008572,2,3
46242472,1112807,0,0
45703024,1728416,0,0
46242544,40229136,2,3
45798500,1000560,0,0
46297520,1119510,0,0
45691092,1125315,0,0
46293532,1125315,0,0
45799320,1119510,0,0
46309332,1129625,0,0
45897344,1107882,2,3
253549,4048695,5,6
4179141,4149245,2,2
21500574,1177480,4,4
21505770,1192710,0,0
21500364,46275916,5,6
35902852,198809,4,4
36155724,1119510,0,0
21502552,1367571,4,4
40765628,40769180,2,2
44362888,40223832,2,3
44337804,933724,0,0
44339288,1539403,0,0
45652936,1125315,0,0
45622708,791967,0,0
45640296,1125315,0,0
45632148,1119510,0,0
45629692,1521369,0,0
45655400,1177480,0,0
45624376,43012036,2,3
45686436,975125,0,0
45781644,1717327,0,0
45687188,19074844,2,3
45687304,40232448,2,3
46242528,1115008,0,0
45702872,920293,0,0
46242296,19008572,2,3
45798500,1310149,0,0
46292864,1119510,0,0
45691288,1125315,0,0
46293704,1125315,0,0
45799552,1119510,0,0
46309472,1129625,0,0
45894648,43012036,2,3
253549,4149245,5,6
4154161,4296205,2,2
21500574,1305058,4,4
21505772,1174888,0,0
21505692,40173592,5,6
35802132,40480160,4,4
36155808,1119510,0,0
21502552,1310149,4,4
40765628,40769184,2,2
44362900,1154615,2,3
44337808,1115008,0,0
44339424,1738521,0,0
45653080,1125315,0,0
45622708,1343916,0,0
45640352,1125315,0,0
45632088,1119510,0,0
45629692,19127890,0,0
45654760,1177480,0,0
45624844,40162520,2,3
45686512,975125,0,0
45781652,1124300,0,0
45687236,1107882,2,3
45687232,1115171,2,3
46242528,1738521,0,0
45702872,1307863,0,0
46242368,19008572,2,3
45798512,1124300,0,0
46293240,1119510,0,0
45691368,1125315,0,0
46293588,1125315,0,0
45799672,1119510,0,0
46309360,1129625,0,0
45894752,43012036,2,3
253549,4278672,5,6
4154161,4299128,2,2
21500574,1112807,4,4
21505772,1129625,0,0
21505696,40236448,5,6
36002888,4048171,4,4
36155940,1119510,0,0
21502552,1322184,4,4
40765628,40769192,2,2
44363088,19059056,2,3
44337888,1000560,0,0
44339288,705944,0,0
45653128,1125315,0,0
45622660,1115008,0,0
45640480,1125315,0,0
45632160,1119510,0,0
45629692,1549786,0,0
45654876,1177480,0,0
45668912,40232448,2,3
45685528,975125,0,0
45781436,967823,0,0
45687172,40232448,2,3
45687688,40232448,2,3
46242532,757627,0,0
45702880,967823,0,0
46241200,40232448,2,3
45798292,967823,0,0
46293424,1119510,0,0
45691368,1125315,0,0
46293608,1125315,0,0
45799660,1119510,0,0
46303832,1129625,0,0
45894768,1127433,2,3
253549,40479768,5,6
4154161,4001336,2,2
21500574,19010482,4,4
21505772,1192710,0,0
21601238,46275916,5,6
36002140,4280726,4,4
36156016,1119510,0,0
4180941,4125906,4,4
37520652,44783196,2,2
44362912,40231924,2,3
44337888,1343916,0,0
44339288,975125,0,0
45653152,1125315,0,0
45622724,738818,0,0
45640536,1125315,0,0
45631864,1119510,0,0
45629672,1500211,0,0
45654800,1177480,0,0
45668840,40228232,2,3
45680344,975125,0,0
45781448,1115008,0,0
45687184,19075000,2,3
45687840,19077572,2,3
46240468,1192710,0,0
45702968,920293,0,0
46241248,1545959,2,3
45798300,1729720,0,0
46293304,1119510,0,0
45691344,1125315,0,0
46293608,1125315,0,0
45799576,1119510,0,0
46303856,1129625,0,0
45896748,40232448,2,3
253549,4066995,5,6
4027255,4329847,2,2
21500574,1129625,4,4
21505776,1174888,0,0
21604252,40229136,5,6
36002140,40486432,4,4
36155944,1119510,0,0
21502550,1000560,4,4
37219944,255848,2,2
44362916,1115171,2,3
44337892,1539403,0,0
44339088,1149380,0,0
45653424,1125315,0,0
45622952,738818,0,0
45640524,1125315,0,0
45632192,1119510,0,0
45629676,740275,0,0
45651400,1177480,0,0
45668888,920334,2,3
45676888,975125,0,0
45781200,967823,0,0
45687208,19075600,2,3
45684256,19019272,2,3
46240500,1539403,0,0
45702980,1729720,0,0
46241164,19077572,2,3
45798304,1112807,0,0
46293456,1119510,0,0
45690976,1125315,0,0
46293744,1125315,0,0
45796708,1119510,0,0
46303928,1129625,0,0
45896652,40163552,2,3
253549,40479424,5,6
4105895,4295880,2,2
21500574,1115008,4,4
21505776,1119510,0,0
21604252,19133768,5,6
36002868,40486432,4,4
36155880,1119510,0,0
21502550,975125,4,4
37622480,317576,2,2
44363104,40162520,2,3
44338028,1112807,0,0
44339292,1545958,0,0
45653424,1125315,0,0
45622556,1174888,0,0
45640440,1125315,0,0
45632008,1119510,0,0
45629620,1107830,0,0
45651652,1177480,0,0
45668844,19073184,2,3
45677088,975125,0,0
45781592,933724,0,0
45687208,19133904,2,3
45684376,40163552,2,3
46240712,1545958,0,0
45702984,1551099,0,0
46238232,1332419,2,3
45798424,1759842,0,0
46296564,1119510,0,0
45688744,1125315,0,0
46293752,1125315,0,0
45796844,1119510,0,0
46307068,1129625,0,0
45896420,782047,2,3
253549,4059173,5,6
4105895,4197460,2,2
21500574,1125315,4,4
21505820,1129625,0,0
21604252,40162520,5,6
36002140,433644,4,4
36156212,1119510,0,0
21502550,914335,4,4
40228300,42902244,2,2
44363024,40162520,2,3
44338032,1129625,0,0
44339580,1129625,0,0
45653532,1125315,0,0
45622736,1115008,0,0
45640536,1125315,0,0
45632012,1119510,0,0
45629628,738818,0,0
45651272,1177480,0,0
45668644,19075000,2,3
45677280,975125,0,0
45781216,738818,0,0
45687208,19133872,2,3
45684300,40223768,2,3
46240712,1332418,0,0
45703056,1332418,0,0
46238508,1127433,2,3
45798524,1107830,0,0
46296644,1119510,0,0
45688020,1125315,0,0
46293520,1125315,0,0
45796992,1119510,0,0
46306400,1129625,0,0
